DISTRITO,ESTABLECIMIENTO,DOMICILIO,CIRCUITO ELECTORAL,MD,MH
SAN FERNANDO,COLEGIO SAN JOSE/INSTITUTO DON ORIONE,IRIONDO SIMON DE 1177 E/ SAN JOSE Y CONSTITUCION,880,329,336
SAN FERNANDO,ESCUELA EP N°9/ES N°13,WHITE ING. 1147 E/ Y,880,337,344
SAN FERNANDO,ESCUELA JARDIN DE INVIERNO (EP/ES),DON ORIONE 1018 E/ Y,880,345,350
SAN FERNANDO,COLEGIO CARDENAL COPELLO (EP/ES),RUTA PROV ROP 27 - DEL LIBERTADOR SAN MARTIN AV. 3675 E/ Y,880,351,354
SAN FERNANDO,COLEGIO PRADERE (EP/ES),CASARES CARLOS 662 E/ Y,880,355,361
SAN FERNANDO,INSTITUTO SAN LUIS (EP/ES),VELEZ SARSFIELD DALMACIO 2645 E/ Y,880,362,364
SAN FERNANDO,ESCUELA ES N°3/EP N°40,3 DE FEBRERO 1810 E/ Y,880,365,373
SAN FERNANDO,ESCUELA EP N°23/ES N°15,GUATEMALA 3061 E/ Y,0880A,374,383
SAN FERNANDO,ESCUELA EP N°33/ES N°18,FERRANTE AQUILES 119 E/ Y,0880B,384,389
SAN FERNANDO,ESCUELA EP N°4,RODRIGUEZ MARTIN 2940 E/ Y,0880B,390,393
SAN FERNANDO,ESCUELA EST N°1,RIO PARANA MINI Y CANAL 4 S/N E/ Y,882,394,398
SAN FERNANDO,ESCUELA EP N°20,RIO PARANA MINI S/N E/ Y,0882A,399,402
